2021-09-28 00:14:11.989 +06:00 [INF] Application Starting up
2021-09-28 01:13:01.274 +06:00 [INF] Worker running at: "2021-09-28T01:13:01.2748625+06:00"
2021-09-28 01:13:21.283 +06:00 [INF] no file to delete
2021-09-28 01:13:21.283 +06:00 [INF] Worker running at: "2021-09-28T01:13:21.2831330+06:00"
2021-09-28 01:13:41.290 +06:00 [INF] no file to delete
2021-09-28 01:13:41.290 +06:00 [INF] Worker running at: "2021-09-28T01:13:41.2906465+06:00"
2021-09-28 01:14:01.329 +06:00 [INF] no file to delete
2021-09-28 01:14:01.329 +06:00 [INF] Worker running at: "2021-09-28T01:14:01.3294742+06:00"
2021-09-28 01:14:21.345 +06:00 [INF] no file to delete
2021-09-28 01:14:21.345 +06:00 [INF] Worker running at: "2021-09-28T01:14:21.3457384+06:00"
2021-09-28 01:14:41.359 +06:00 [INF] no file to delete
2021-09-28 01:14:41.360 +06:00 [INF] Worker running at: "2021-09-28T01:14:41.3601126+06:00"
2021-09-28 01:15:01.372 +06:00 [INF] no file to delete
2021-09-28 01:15:01.372 +06:00 [INF] Worker running at: "2021-09-28T01:15:01.3720831+06:00"
2021-09-28 01:15:21.376 +06:00 [INF] no file to delete
2021-09-28 01:15:21.376 +06:00 [INF] Worker running at: "2021-09-28T01:15:21.3766432+06:00"
2021-09-28 01:15:41.394 +06:00 [INF] no file to delete
2021-09-28 01:15:41.394 +06:00 [INF] Worker running at: "2021-09-28T01:15:41.3948839+06:00"
2021-09-28 01:16:01.408 +06:00 [INF] no file to delete
2021-09-28 01:16:01.408 +06:00 [INF] Worker running at: "2021-09-28T01:16:01.4086567+06:00"
2021-09-28 01:16:21.412 +06:00 [INF] no file to delete
2021-09-28 01:16:21.412 +06:00 [INF] Worker running at: "2021-09-28T01:16:21.4124069+06:00"
2021-09-28 01:16:41.426 +06:00 [INF] no file to delete
2021-09-28 01:16:41.426 +06:00 [INF] Worker running at: "2021-09-28T01:16:41.4261476+06:00"
2021-09-28 01:17:01.434 +06:00 [INF] no file to delete
2021-09-28 01:17:01.434 +06:00 [INF] Worker running at: "2021-09-28T01:17:01.4345363+06:00"
2021-09-28 01:17:21.448 +06:00 [INF] no file to delete
2021-09-28 01:17:21.448 +06:00 [INF] Worker running at: "2021-09-28T01:17:21.4489406+06:00"
2021-09-28 01:17:41.454 +06:00 [INF] no file to delete
2021-09-28 01:17:41.454 +06:00 [INF] Worker running at: "2021-09-28T01:17:41.4545153+06:00"
2021-09-28 01:18:01.457 +06:00 [INF] no file to delete
2021-09-28 01:18:01.457 +06:00 [INF] Worker running at: "2021-09-28T01:18:01.4573970+06:00"
2021-09-28 01:18:21.474 +06:00 [INF] no file to delete
2021-09-28 01:18:21.474 +06:00 [INF] Worker running at: "2021-09-28T01:18:21.4749128+06:00"
2021-09-28 01:18:41.490 +06:00 [INF] no file to delete
2021-09-28 01:18:41.490 +06:00 [INF] Worker running at: "2021-09-28T01:18:41.4909228+06:00"
2021-09-28 01:19:01.500 +06:00 [INF] no file to delete
2021-09-28 01:19:01.500 +06:00 [INF] Worker running at: "2021-09-28T01:19:01.5003955+06:00"
2021-09-28 01:19:21.514 +06:00 [INF] no file to delete
2021-09-28 01:19:21.514 +06:00 [INF] Worker running at: "2021-09-28T01:19:21.5140591+06:00"
2021-09-28 01:19:41.527 +06:00 [INF] no file to delete
2021-09-28 01:19:41.528 +06:00 [INF] Worker running at: "2021-09-28T01:19:41.5279798+06:00"
2021-09-28 01:20:01.542 +06:00 [INF] no file to delete
2021-09-28 01:20:01.542 +06:00 [INF] Worker running at: "2021-09-28T01:20:01.5427648+06:00"
2021-09-28 01:20:21.553 +06:00 [INF] no file to delete
2021-09-28 01:20:21.553 +06:00 [INF] Worker running at: "2021-09-28T01:20:21.5532198+06:00"
2021-09-28 01:20:41.565 +06:00 [INF] no file to delete
2021-09-28 01:20:41.565 +06:00 [INF] Worker running at: "2021-09-28T01:20:41.5657535+06:00"
2021-09-28 01:21:01.610 +06:00 [INF] no file to delete
2021-09-28 01:21:01.610 +06:00 [INF] Worker running at: "2021-09-28T01:21:01.6109620+06:00"
2021-09-28 01:21:21.626 +06:00 [INF] no file to delete
2021-09-28 01:21:21.626 +06:00 [INF] Worker running at: "2021-09-28T01:21:21.6262588+06:00"
2021-09-28 01:21:41.642 +06:00 [INF] no file to delete
2021-09-28 01:21:41.643 +06:00 [INF] Worker running at: "2021-09-28T01:21:41.6430021+06:00"
2021-09-28 01:22:01.646 +06:00 [INF] no file to delete
2021-09-28 01:22:01.646 +06:00 [INF] Worker running at: "2021-09-28T01:22:01.6462404+06:00"
2021-09-28 01:22:21.662 +06:00 [INF] no file to delete
2021-09-28 01:22:21.662 +06:00 [INF] Worker running at: "2021-09-28T01:22:21.6626729+06:00"
2021-09-28 01:22:41.665 +06:00 [INF] no file to delete
2021-09-28 01:22:41.667 +06:00 [INF] Worker running at: "2021-09-28T01:22:41.6672015+06:00"
2021-09-28 01:23:01.677 +06:00 [INF] no file to delete
2021-09-28 01:23:01.677 +06:00 [INF] Worker running at: "2021-09-28T01:23:01.6772634+06:00"
2021-09-28 01:23:21.692 +06:00 [INF] no file to delete
2021-09-28 01:23:21.692 +06:00 [INF] Worker running at: "2021-09-28T01:23:21.6926401+06:00"
2021-09-28 01:23:41.702 +06:00 [INF] no file to delete
2021-09-28 01:23:41.735 +06:00 [INF] Worker running at: "2021-09-28T01:23:41.7351487+06:00"
2021-09-28 01:24:01.749 +06:00 [INF] no file to delete
2021-09-28 01:24:01.749 +06:00 [INF] Worker running at: "2021-09-28T01:24:01.7498074+06:00"
2021-09-28 01:24:21.758 +06:00 [INF] no file to delete
2021-09-28 01:24:21.758 +06:00 [INF] Worker running at: "2021-09-28T01:24:21.7588414+06:00"
